years,Industries,Revenue ,Operating expences ,Raw materials and consumables used ,Payroll expence ,Depreciation and write down of tangible and intangible fixed assets ,Operating profit ,"Financial items, net ",Net profit ,Fixed assets,Current assets,Cash and bank deposits etc,Total assets,Equity,Liabilities,Short-term liabilities,Number of enterprises
2019,Transportation and storage,383157,404301,101817,81119,33882,27835,-17011,1157,813901,238863,64986,1052764,435068,617696,227816,9698
2019,Accommodation and food service activities,84078,87044,20238,33034,3183,1407,-2818,-2181,71564,42572,10575,114136,43142,70994,30714,9845
2019,Information and communication,255850,252016,67475,83424,20021,16223,62697,69018,733205,203244,50712,936449,521041,415408,201209,15216
2019,Real estate activities,45751,114951,18449,18019,25235,62790,100317,148037,2312489,509472,128193,2821961,1466596,1355365,308775,59253
2019,"Professional, scientific and technical activities",238002,236310,48688,94790,12316,13707,7255,16022,335619,208393,60350,544012,290098,253914,145156,37709
2019,Administrative and support service activities,179096,186684,56464,66333,12915,16352,10576,24399,335967,108447,32446,444414,211460,232954,94691,13033
2019,Education,12239,14021,1336,6945,605,705,1143,1635,8944,6801,3468,15745,7246,8499,4541,4105
2019,Human health and social work activities,48115,65330,4880,37956,2293,5161,1511,5442,69362,36449,14493,105811,47165,58646,25029,9892
2019,"Arts, entertainment and recreation",61216,57012,4381,6786,1722,7179,2163,8855,29347,17597,10207,46944,19167,27777,15025,5217
2019,Other service activities,15516,15187,2342,7686,779,853,2306,2903,16168,10621,4376,26789,12868,13921,7601,4901
2019,Unspecified,3479,5635,2150,474,214,-777,23580,21307,366053,95308,0,461361,334423,126938,31005,15494
2020,"Agriculture, forestry and fishing",130359,116637,58595,19177,8968,19331,12197,27115,260117,123032,29059,383149,198054,185095,62219,5271
2020,Mining and quarrying,847753,852172,436447,79356,179102,59521,342,23504,2293841,528054,0,2821895,1078051,1743844,484362,1328
2020,Manufacturing,797077,776899,449197,143563,33746,26156,60851,77385,1005317,519082,97272,1524400,783948,740452,433975,13171
2020,"Electricity, gas and steam",93782,87799,38725,12954,11477,23327,14776,30392,888789,132398,43856,1021187,539810,481377,135333,1717
2020,"Water supply, sewerage, waste",35419,34545,16569,6281,1852,1643,413,1631,30274,14750,4652,45024,17521,27503,12230,886
2020,Construction,575555,563671,201881,143120,10234,32114,28211,52127,448119,443387,94108,891507,346496,545011,292641,45147
2020,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1706181,1638371,1290868,163223,18281,74575,49484,107852,565494,611020,108635,1176513,586855,589658,430330,43627
2020,Transportation and storage,320933,370496,91860,75634,37878,14560,-29785,-26020,839080,218413,70309,1057493,447578,609915,194208,9869
2020,Accommodation and food service activities,61233,70272,15966,25191,3485,-1014,2752,1690,72588,41598,10869,114186,48459,65727,30502,10407
2020,Information and communication,265240,260886,75286,83020,24684,19061,43148,55046,766135,267109,77692,1033244,528973,504271,249906,16328
2020,Real estate activities,57499,127634,25210,19318,27694,63972,94451,144457,2496614,598216,143572,3094830,1556343,1538487,348409,66427
2020,"Professional, scientific and technical activities",231956,232906,46542,96098,16537,11505,11478,18818,352334,244831,81182,597165,327988,269177,162447,39641
2020,Administrative and support service activities,146734,155745,33584,59172,14435,8407,3177,9283,305494,112720,29392,418214,186776,231438,99138,13539
2020,Education,10990,12132,1080,5874,583,862,1468,2066,8988,7442,0,16430,7630,8800,5026,4245
2020,Human health and social work activities,47195,63980,4356,36835,2582,5929,4113,8598,75675,40400,16342,116075,51404,64672,29246,10282
2020,"Arts, entertainment and recreation",57773,54568,3182,5475,1719,7226,569,7475,30052,19539,11505,49591,19437,30154,16245,5442
2020,Other service activities,15073,14886,2621,7131,775,3665,1,3431,15755,12817,4586,28572,14088,14485,7395,5203
2020,Unspecified,5314,7607,3261,775,823,1823,21380,22723,471069,98212,26943,569281,399407,169873,47120,20609
2021,"Agriculture, forestry and fishing",144867,129743,64738,21037,9714,23246,25032,42706,296720,142332,37924,439052,229871,209181,70043,5604
2021,Mining and quarrying,1341924,870165,526887,81142,125284,532422,28142,183600,2270665,1225547,185992,3496213,1195880,2300333,1047481,1298
2021,Manufacturing,840482,808511,464329,151728,27211,43853,97483,129058,1065402,576825,106767,1642227,798267,843960,529626,13412
2021,"Electricity, gas and steam",210591,155920,98853,14348,11679,64448,30931,57947,955064,258122,70050,1213186,572284,640902,283354,1726
2021,"Water supply, sewerage, waste",41233,39683,20096,6827,1911,2620,1926,3919,34649,17860,5551,52508,20487,32021,14222,904
2021,Construction,623084,611306,226082,152583,11030,37875,38552,66532,532892,493340,98203,1026232,406144,620089,323074,47366
2021,Wholesale and retail trade0 repair of motor vehicles and motorcycles,1908778,1827253,1452006,175930,18120,84383,86663,149301,568705,701395,108791,1270099,624925,645174,483508,44462
2021,Transportation and storage,366989,398535,89375,81531,32654,27197,36037,53672,931485,267467,80238,1198952,575870,623082,212793,10060
2021,Accommodation and food service activities,73282,79564,18120,28682,3407,2795,6321,7969,99165,56644,14563,155810,71203,84606,39213,11040
2021,Information and communication,282782,284168,79744,91765,25311,21163,58967,71419,1029410,254263,73805,1283674,748483,535191,249398,17296
2021,Real estate activities,66604,143339,32337,21291,28942,69668,160518,213239,2709619,666017,162856,3375636,1703317,1672319,390128,69756
2021,"Professional, scientific and technical activities",247280,248140,49293,105762,12554,14867,30994,40357,436061,290373,92135,726434,439048,287386,173369,41287
2021,Administrative and support service activities,150504,157826,30783,65427,12559,10987,8030,16032,311101,111646,31148,422746,189936,232810,106203,13907
2021,Education,11134,11224,1070,5117,519,995,912,1590,8410,7014,3071,15424,7410,8014,4624,4409
2021,Human health and social work activities,52072,69133,4872,39205,2351,6933,12213,17329,81597,49007,17952,130603,54862,75742,35994,10841
2021,"Arts, entertainment and recreation",61475,57985,3658,6251,1720,7381,1998,9017,30648,21496,12423,52144,20168,31977,18020,5756
2021,Other service activities,16965,16653,3027,8137,777,2009,1219,2977,16136,11735,4292,27870,13481,14389,7043,5442
2021,Unspecified,7208,8658,3557,792,679,4235,75073,78048,570761,146788,39625,717549,498047,219501,67314,26805
2022,"Agriculture, forestry and fishing",188418,158093,81534,24421,11689,42131,21703,53222,398109,248498,47519,646607,292397,354210,155139,5874
2022,Mining and quarrying,2343017,1228054,776905,90104,149623,1181299,0,419761,2596730,1681675,211548,4278405,1533616,2744789,1479933,1275
2022,Manufacturing,969994,907511,557349,160153,11995,84525,114113,173467,1185586,624820,114378,1810406,891903,918503,574435,13388
2022,"Electricity, gas and steam",345812,245677,171302,15917,12980,122435,42826,86669,1071760,459187,129192,1530948,653719,877228,483359,1754
2022,"Water supply, sewerage, waste",45250,43404,21319,7445,2094,2879,0,4726,43847,18612,4773,62459,25656,36803,15649,910
2022,Construction,680490,674347,249667,164670,12423,32977,31873,55751,596681,541234,98916,1137915,448299,689617,362181,48222
2022,Wholesale and retail trade0 repair of motor vehicles and motorcycles,2043604,1983481,1575332,187446,18646,66145,27065,74405,679027,753129,97516,1432156,693412,738744,531804,44609
2022,Transportation and storage,494659,490390,119309,89972,28740,54283,34368,79326,1020169,315775,81035,1335944,611112,724831,253822,10163
2022,Accommodation and food service activities,102710,105318,24924,39005,3281,4047,4785,7616,105247,58427,14956,163674,75768,87906,45154,11254
2022,Information and communication,318031,326178,90406,103533,28306,21651,-5712,14708,1103757,292202,72788,1395959,820306,575653,282356,18400
2022,Real estate activities,70861,158781,33137,22572,32720,63972,91367,138984,2936889,715872,164181,3652761,1815979,1836782,423714,72260
2022,"Professional, scientific and technical activities",275839,272764,51827,116470,10197,15833,34325,43633,527313,309227,93313,836540,517290,319251,195123,42932
2022,Administrative and support service activities,206509,207165,53198,77645,15199,19485,890,16928,368821,140954,30318,509775,218792,290983,136048,14360
2022,Education,12054,12538,1152,5710,613,597,371,762,8052,7181,3353,15233,7439,7794,4796,4614
2022,Human health and social work activities,56875,75384,5340,42291,2409,5939,2629,6937,88617,47103,17104,135720,58420,77300,34166,11302
2022,"Arts, entertainment and recreation",73011,68476,5329,8095,1921,8716,450,8457,38773,23841,13082,62614,25497,37117,20931,6102
2022,Other service activities,18949,18562,3188,9070,805,1087,235,1077,19209,11744,5266,30953,15475,15478,8461,5630
2022,Unspecified,8265,12836,3593,1202,1050,927,44146,44544,580268,189774,44181,770042,549192,220850,70734,33403
2023,"Agriculture, forestry and fishing",265459,233508,140088,26379,11767,42241,20558,49146,450460,300066,40914,750526,327058,423468,196453,6150
2023,Mining and quarrying,1859323,1217517,749782,99528,175812,732690,339587,524336,2581327,1204478,163280,3785805,1315870,2469935,1121783,1297
2023,Manufacturing,1017993,987653,591340,172599,37032,48459,151852,183545,1295609,742515,118681,2038124,1015741,1022383,673351,13558
2023,"Electricity, gas and steam",251548,188482,118449,17389,13944,85508,34495,68725,1117648,321110,89536,1438758,674823,763935,340265,1845
2023,"Water supply, sewerage, waste",46099,44758,21075,8110,2197,2405,505,2376,45298,19879,5248,65177,26737,38439,15872,915
2023,Construction,686950,683920,240941,176044,13670,27018,21917,40917,647728,560010,98234,1207737,469490,738248,397393,48315
2023,Wholesale and retail trade0 repair of motor vehicles and motorcycles,2095207,2065692,1624092,199542,21634,52238,36617,73596,739190,767733,100840,1506923,752647,754275,556917,45367
2023,Transportation and storage,491294,505125,133119,97283,32943,62811,38415,91869,1171576,377502,94323,1549078,734098,814980,329077,10313
2023,Accommodation and food service activities,112876,115302,27619,42623,3655,3360,4675,6540,117245,69342,15963,186587,80996,105591,52246,11770
2023,Information and communication,360879,372511,112045,113769,29149,20076,104672,116235,1429405,353321,86301,1782726,1113409,669317,340748,19665
2023,Real estate activities,62609,159650,26644,23384,38294,67523,52201,104903,3111043,761705,158842,3872748,1910831,1961917,450628,75976
2023,"Professional, scientific and technical activities",305105,307347,58181,128549,11252,14995,23894,31444,585071,329781,84182,914852,548823,366029,215838,45085
2023,Administrative and support service activities,224489,225455,61323,78741,17024,19521,2099,18781,357765,152285,34438,510050,222907,287143,128470,14700
